uuid,biomassPlant,biomassPlant_final,biomassFruit,biomassFruit_final,biomassInternode,biomassInternode_final,internodeNSC,internodeNSC_final,fraction_fruitUnloading,fraction_structuralRootUnloading,fraction_internodeUnloading,phloemSugarConcentration,harvest_index,meanFruitDW,meanFruitSc,Ta,cca,totalFruitNumber,incomingRadiation,leafArea,Tmax,Tmin,ENDING_LEAF_NUMBER,vineType
c9c367d7-c337-422d-a35d-cebfc482071b,46.738852251436576,28097.454335327653,55.3530010247331,7666.051185710533,49.130735935647685,16223.95250660948,-19.13316387204411,371.7576815974582,0.17158477176178455,0.01921026771066919,0.5807775112205387,0.013927565685781533,0.27283922208229827,153.32102375,0.11997162866666666,22.505782674242425,400.0,50.0,814.5517676767677,0.04796556947260091,25.0,20.0,3.0,spur
ca2c33d8-dea0-484a-b543-04bd65163170,37.63594365224298,29541.00326650508,50.63505280441111,10480.755110731983,34.608771882712496,14694.335627692131,-27.234902978608886,339.19177359458564,0.2143083973640573,0.01696621007638889,0.508791663297033,0.011823009482035155,0.3547875022705806,149.72507583333334,0.11895346333333334,25.011565351010102,1200.0,70.0,814.5517676767677,0.04796556947260091,30.0,20.0,3.0,spur
ca7bb577-f0ea-40da-9cf9-0d0bc2350933,74.4031390066785,40331.08266259784,58.68160732368107,7888.7679863713865,109.25342018435438,24507.568214443552,12.0355030222769,555.064358535983,0.12185907861526728,0.011020230198495368,0.5113077024670665,0.01534320058855255,0.19560309139029475,157.77535958333334,0.12437266866666667,22.505782674242425,900.0,50.0,407.27588383838383,0.10036192065991252,25.0,20.0,6.0,spur
caab07ec-e2d7-4223-b8a3-c9237673d7d8,119.59244933638298,78296.12124161577,65.34200530732242,11530.706668111556,261.45877760766103,48331.569251356006,95.10423299932955,1080.3517460488697,0.13402690054447602,0.0050304499505681825,0.5108351232275359,0.018921985763330304,0.14727599869404145,164.72438041666666,0.13407881375,25.011565351010102,900.0,70.0,814.5517676767677,0.2509799004147781,30.0,20.0,12.0,spur
cad7f465-e02c-42b0-9fca-d32962bca73c,42.370549874229134,27490.29809187554,56.67543902234854,7772.908132864252,41.296168112421704,15403.563103043149,-23.47835203614545,354.11355365181817,0.17073445483796296,0.01829018700436658,0.561471579508628,0.01340573570610192,0.2827518665824577,155.4581625,0.12470451679166666,25.011565351010102,650.0,50.0,407.27588383838383,0.04796556947260091,30.0,20.0,3.0,spur
caf7f517-9c71-4cb5-a7c7-1cf932e3c31c,73.01461399298583,46151.01101677122,57.59670447305123,13999.771416318667,109.66342857175535,24387.134388785842,12.211805975944587,551.6221605299534,0.2292596154499158,0.010033584057870368,0.46874709159080385,0.01551882144832902,0.3033504648793232,155.55301458333335,0.12086155058333332,20.0115655155724,650.0,90.0,271.51725589225595,0.10036192065991252,25.0,15.0,6.0,spur
cb7da21f-819c-4bd5-8e48-d3735bced3fc,99.72648742190891,62066.231308347495,65.38644522115482,14704.505457471774,180.6139179914255,34755.58928990191,51.46185820106912,781.6034969274957,0.21867353815051557,0.006690177589120371,0.48379048021874993,0.01784455698565251,0.23692118157476882,163.38339208333335,0.13137639166666668,22.517348022727273,650.0,90.0,271.51725589225595,0.16982541343694404,30.0,15.0,9.0,spur
cbcbf616-fe35-471c-ac6c-3420a3d4092f,40.67381476822215,30019.338615707868,52.85444333527393,10609.832833769402,38.12252955832202,15065.175621470977,-25.872052903887084,346.3634325445796,0.24037174231839226,0.0170709779464436,0.4909522917584176,0.01271468783328828,0.3534341396841871,151.56904125,0.11955155433333332,22.517348022727273,900.0,70.0,678.7931397306396,0.04796556947260091,30.0,15.0,3.0,spur
cc492514-f00a-4736-8ce5-f0b8686676fc,124.52283913150882,74758.26403115397,66.91120858648337,8308.062399216222,261.78942432460286,48303.676727583406,95.85354202512985,1080.2885919396163,0.09797295651806609,0.005242848114688552,0.5231915373034512,0.018922965265488353,0.11113663008847761,166.16124625,0.13555227666666667,25.011565351010102,650.0,50.0,678.7931397306396,0.2509799004147781,30.0,20.0,12.0,spur
cc6d6ef8-0281-481b-b19e-768a51de8d97,96.47004505275297,62523.75488573078,63.995892700045076,14673.226071501815,182.09695770032138,35213.92221131678,51.953663001734476,791.2690387417815,0.18653395753277568,0.006819955988794191,0.4858888822877209,0.01805058564342327,0.23468803168714567,163.03584541666666,0.13235594333333334,25.011565351010102,650.0,90.0,678.7931397306396,0.16982541343694404,30.0,20.0,9.0,spur
