age_d,age_h,T,H_a,psi_x,Cpm,rho
11 ,24,13.2,92.6,-3.943313953,0.053169734,298.2311355
12 ,1,13.7,92.4,-3.943313953,0.053169734,297.9699177
12 ,2,13.3,92.5,-3.943313953,0.053169734,297.7086999
12 ,3,13.2,92,-3.943313953,0.053169734,297.4474821
12 ,4,13,92.6,-3.943313953,0.053169734,297.1862644
12 ,5,12.7,93.2,-3.943313953,0.053169734,296.9250466
12 ,6,12.1,94.4,-3.943313953,0.053169734,296.6638288
12 ,7,12.7,92.9,-3.943313953,0.053169734,296.4026111
12 ,8,14.1,88.1,-3.943313953,0.053169734,296.1413933
12 ,9,16.2,81.9,-6.02921,0.177021793,295.8801755
12 ,10,17.9,75.6,-7.972955678,0.292433538,295.6189577
12 ,11,19.1,70.4,-9.642087932,0.39153985,295.35774
12 ,12,19.9,67.9,-10.92285816,0.467586799,295.0965222
12 ,13,20.5,65,-11.72798398,0.515391909,294.8353044
12 ,14,20.8,63.5,-12.0025974,0.531697342,294.5740866
12 ,15,20.1,65.7,-11.72798398,0.515391909,294.3128689
12 ,16,20.1,67.5,-10.92285816,0.467586799,294.0516511
12 ,17,19,74.7,-9.642087932,0.39153985,293.7904333
12 ,18,18.8,72.8,-7.972955678,0.292433538,293.5292156
12 ,19,18.4,67.6,-6.02921,0.177021793,293.2679978
12 ,20,17.1,74.2,-3.943313953,0.053169734,293.00678
12 ,21,16,81.8,-3.943313953,0.053169734,292.7455622
12 ,22,15,87.7,-3.943313953,0.053169734,292.4843445
12 ,23,14.3,89.8,-3.943313953,0.053169734,292.2231267
12 ,24,13.1,93.4,-3.943313953,0.053169734,291.9619089
13 ,1,12.3,94.8,-3.943313953,0.053169734,291.7006912
13 ,2,11.4,95.3,-3.943313953,0.053169734,291.4394734
13 ,3,9.9,96.1,-3.943313953,0.053169734,291.1782556
13 ,4,9.1,97.5,-3.943313953,0.053169734,290.9170378
13 ,5,8.7,98.2,-3.943313953,0.053169734,290.6558201
13 ,6,7.8,98.2,-3.943313953,0.053169734,290.3946023
13 ,7,9.2,98.8,-3.943313953,0.053169734,290.1333845
13 ,8,13.3,91.2,-3.943313953,0.053169734,289.8721668
13 ,9,17.1,74.7,-6.02921,0.177021793,289.610949
13 ,10,19.4,65.5,-7.972955678,0.292433538,289.3497312
13 ,11,21,56.7,-9.642087932,0.39153985,289.0885134
13 ,12,21.6,56.3,-10.92285816,0.467586799,288.8272957
13 ,13,22,54.8,-11.72798398,0.515391909,288.5660779
13 ,14,22.4,50.6,-12.0025974,0.531697342,288.3048601
13 ,15,22.3,49.4,-11.72798398,0.515391909,288.0436423
13 ,16,22.2,47.4,-10.92285816,0.467586799,287.7824246
13 ,17,22.1,51.6,-9.642087932,0.39153985,287.5212068
13 ,18,21.8,53.8,-7.972955678,0.292433538,287.259989
13 ,19,20.9,61.5,-6.02921,0.177021793,286.9987713
13 ,20,18.9,71.2,-3.943313953,0.053169734,286.7375535
13 ,21,16.5,82.9,-3.943313953,0.053169734,286.4763357
13 ,22,15,82.2,-3.943313953,0.053169734,286.2151179
13 ,23,13.5,86,-3.943313953,0.053169734,285.9539002
13 ,24,13.2,88.2,-3.943313953,0.053169734,285.6926824
14 ,1,13,88.9,-3.943313953,0.053169734,285.4314646
14 ,2,12.3,89.4,-3.943313953,0.053169734,285.1702469
14 ,3,11.1,91.8,-3.943313953,0.053169734,284.9090291
14 ,4,9.8,95,-3.943313953,0.053169734,284.6478113
14 ,5,9,96.2,-3.943313953,0.053169734,284.3865935
14 ,6,8.3,97.1,-3.943313953,0.053169734,284.1253758
14 ,7,9.7,97,-3.943313953,0.053169734,283.864158
14 ,8,15.2,85.1,-3.943313953,0.053169734,283.6029402
14 ,9,18.3,75.2,-6.02921,0.177021793,283.3417224
14 ,10,20.1,65.3,-7.972955678,0.292433538,283.0805047
14 ,11,21.7,59.4,-9.642087932,0.39153985,282.8192869
14 ,12,22.6,54.7,-10.92285816,0.467586799,282.5580691
14 ,13,22.9,55,-11.72798398,0.515391909,282.2968514
14 ,14,24.4,50.4,-12.0025974,0.531697342,282.0356336
14 ,15,26.2,41.4,-11.72798398,0.515391909,281.7744158
14 ,16,23.9,52,-10.92285816,0.467586799,281.513198
14 ,17,24.7,51.5,-9.642087932,0.39153985,281.2519803
14 ,18,25,47.4,-7.972955678,0.292433538,280.9907625
14 ,19,23.9,51,-6.02921,0.177021793,280.7295447
14 ,20,23.1,53.9,-3.943313953,0.053169734,280.468327
14 ,21,22,57.3,-3.943313953,0.053169734,280.2071092
14 ,22,21.5,59.9,-3.943313953,0.053169734,279.9458914
14 ,23,20.9,63.4,-3.943313953,0.053169734,279.6846736
14 ,24,20.3,66,-3.943313953,0.053169734,279.4234559
15 ,1,19.6,68.9,-3.943313953,0.053169734,279.1622381
15 ,2,19.4,70,-3.943313953,0.053169734,278.9010203
15 ,3,19.9,66.6,-3.943313953,0.053169734,278.6398026
15 ,4,20,65.7,-3.943313953,0.053169734,278.3785848
15 ,5,19.5,67.7,-3.943313953,0.053169734,278.117367
15 ,6,19.3,68.8,-3.943313953,0.053169734,277.8561492
15 ,7,19,71.5,-3.943313953,0.053169734,277.5949315
15 ,8,19,74.8,-3.943313953,0.053169734,277.3337137
15 ,9,19,76.4,-6.02921,0.177021793,277.0724959
15 ,10,18.8,79.2,-7.972955678,0.292433538,276.8112781
15 ,11,19.1,77.8,-9.642087932,0.39153985,276.5500604
15 ,12,19.5,75.2,-10.92285816,0.467586799,276.2888426
15 ,13,21,71.1,-11.72798398,0.515391909,276.0276248
15 ,14,21.3,67.8,-12.0025974,0.531697342,275.7664071
15 ,15,18.4,74.3,-11.72798398,0.515391909,275.5051893
15 ,16,15.7,78.3,-10.92285816,0.467586799,275.2439715
