uuid,baseScenarioFile,Tmax,Tmin,cca,inputPAR,ENDING_LEAF_NUMBER
09b653fc-f33c-4ac1-9dd1-e7106b182ef2,model.options.HGU.cane.20.json,27.5,20,650,1000,12
5cb0d913-4023-4c7a-a5aa-421814174451,model.options.HGU.cane.20.json,27.5,20,650,1200,6
18d6b817-bcbb-4ca8-ba61-34dd0183d39e,model.options.HGU.cane.20.json,27.5,20,650,1200,9
e18c2b09-da2b-4ce7-9ab3-7ae5838fad68,model.options.HGU.cane.20.json,27.5,20,650,1200,12
c44355d5-a5d6-438f-a259-b7ffae05dacb,model.options.HGU.cane.20.json,27.5,20,900,800,6
f957741b-aabd-4d32-82b0-61a055702558,model.options.HGU.cane.20.json,27.5,20,900,800,9
5025a54f-ebd4-4d21-8ad8-e1f031cb8b71,model.options.HGU.cane.20.json,27.5,20,900,800,12
a4d50632-2fc7-4ba7-a275-3abf724e97c2,model.options.HGU.cane.20.json,27.5,20,900,1000,6
8b573bcb-abb2-4e30-8fb5-2f5b18549d5b,model.options.HGU.cane.20.json,27.5,20,900,1000,9
f4c29ac6-558d-4024-a00b-7d17858e29da,model.options.HGU.cane.20.json,27.5,20,900,1000,12
847a60af-15fd-4f2a-990f-563b8943dbf9,model.options.HGU.cane.20.json,27.5,20,900,1200,6
720791d9-5613-4c17-a2d5-8cf74142992d,model.options.HGU.cane.20.json,27.5,20,900,1200,9
a3884249-0de8-4532-8cd2-ee87a7709d5d,model.options.HGU.cane.20.json,27.5,20,900,1200,12
524dc427-4095-45d6-ab12-c4afd3b9b170,model.options.HGU.cane.20.json,27.5,20,1200,800,6
f619f9ea-349b-45c6-bd76-b5414f43fc9f,model.options.HGU.cane.20.json,27.5,20,1200,800,9
56440359-ced9-409a-a985-549a2225baf8,model.options.HGU.cane.20.json,27.5,20,1200,800,12
f9f2ba56-a675-4cbd-b5c5-fcf3bfa2bb14,model.options.HGU.cane.20.json,27.5,20,1200,1000,6
361cd18e-3129-494e-882d-fb783a6acedf,model.options.HGU.cane.20.json,27.5,20,1200,1000,9
9459b4bb-f5c2-4fdc-8409-74e4103b4dc5,model.options.HGU.cane.20.json,27.5,20,1200,1000,12
eb08a5d4-19ab-4222-a1b8-1f1a08c91243,model.options.HGU.cane.20.json,27.5,20,1200,1200,6
0de8fd28-a310-4cea-a238-02266e73a62a,model.options.HGU.cane.20.json,27.5,20,1200,1200,9
aee626c7-5dcf-4411-becf-3c9821c180a4,model.options.HGU.cane.20.json,27.5,20,1200,1200,12
7d9752ae-f390-40cf-8bc0-f04010a6eb9e,model.options.HGU.cane.20.json,30,15,400,800,6
74d059a4-c250-46be-9f57-71f3ecb58c75,model.options.HGU.cane.20.json,30,15,400,800,9
798ada44-e331-454c-8092-9dafa91bb969,model.options.HGU.cane.20.json,30,15,400,800,12
a628fe05-b425-439d-82ab-8ac62ca3fd46,model.options.HGU.cane.20.json,30,15,400,1000,6
c7be8af8-25be-4560-8133-d72df240793f,model.options.HGU.cane.20.json,30,15,400,1000,9
b6ea05a8-6c55-40ad-a102-617c88f049ca,model.options.HGU.cane.20.json,30,15,400,1000,12
9dd96620-2ecf-4e94-a50d-c44484b29709,model.options.HGU.cane.20.json,30,15,400,1200,6
31998e32-073f-4bd1-a4a4-1e9b1e32c5c5,model.options.HGU.cane.20.json,30,15,400,1200,9
f7323fb3-7808-41c1-a820-c434433fe73e,model.options.HGU.cane.20.json,30,15,400,1200,12
86564045-abdf-4ead-89c9-8a6cdddc97d7,model.options.HGU.cane.20.json,30,15,650,800,6
b1865ac3-f99a-435e-ae54-1a07e0703103,model.options.HGU.cane.20.json,30,15,650,800,9
30c00a5a-690d-4eff-be53-987d9843dfa2,model.options.HGU.cane.20.json,30,15,650,800,12
8863c074-da2e-4f2a-8d15-300ceb0aceaf,model.options.HGU.cane.20.json,30,15,650,1000,6
0243a87d-8d6a-460e-8506-fbf4e386fbaf,model.options.HGU.cane.20.json,30,15,650,1000,9
1b1fa848-679f-41c6-9a39-0cf06e16edd1,model.options.HGU.cane.20.json,30,15,650,1000,12
f6ff12ff-9b06-48c1-9306-48ec24b22b1e,model.options.HGU.cane.20.json,30,15,650,1200,6
3f61d3d4-11df-4bb4-9c67-bd1033b7bb0f,model.options.HGU.cane.20.json,30,15,650,1200,9
36df67ab-aec1-4217-af78-70f3a8135a81,model.options.HGU.cane.20.json,30,15,650,1200,12
2eec6e89-c52d-4c33-b118-ffebd62ef7b3,model.options.HGU.cane.20.json,30,15,900,800,6
303f536e-8775-4d63-ba28-574302369a6c,model.options.HGU.cane.20.json,30,15,900,800,9
944366b3-cc61-42c0-ae7b-768b165e4705,model.options.HGU.cane.20.json,30,15,900,800,12
ad42f3af-5314-488a-90d1-b4cd0c750189,model.options.HGU.cane.20.json,30,15,900,1000,6
ab6586b6-035f-46a7-9168-ce72346c7450,model.options.HGU.cane.20.json,30,15,900,1000,9
ba574740-1fcc-42d6-baa1-60d6c374fd14,model.options.HGU.cane.20.json,30,15,900,1000,12
d1ff76bb-45f7-4bb4-80dd-c287e2eea78c,model.options.HGU.cane.20.json,30,15,900,1200,6
f04ca6fd-1d59-4dff-ab79-0f04ec67dc59,model.options.HGU.cane.20.json,30,15,900,1200,9
74ac952a-00f0-4116-a7e9-fba6c0e2163d,model.options.HGU.cane.20.json,30,15,900,1200,12
dae15404-0b0d-46e1-84cf-d8787cb6a203,model.options.HGU.cane.20.json,30,15,1200,800,6
4f98f475-3d7b-40e9-8e59-11d2b1a08383,model.options.HGU.cane.20.json,30,15,1200,800,9
eb91815c-7cf6-4f60-90eb-6ac85baac8e3,model.options.HGU.cane.20.json,30,15,1200,800,12
479172fa-b4df-442d-af0c-822d81f84b86,model.options.HGU.cane.20.json,30,15,1200,1000,6
7c8d21bc-1716-46c8-af5d-40881186e519,model.options.HGU.cane.20.json,30,15,1200,1000,9
90d5b407-f97f-4a4a-ada1-ad2170400965,model.options.HGU.cane.20.json,30,15,1200,1000,12
2e1b0d3e-a51b-4886-b3bb-07895be8220c,model.options.HGU.cane.20.json,30,15,1200,1200,6
a69a7dfc-f60e-40bd-9512-2b5809f0990c,model.options.HGU.cane.20.json,30,15,1200,1200,9
4eab2875-de52-433d-9be7-cb036c0d31ab,model.options.HGU.cane.20.json,30,15,1200,1200,12
a0076e55-676f-4291-b62b-a74779ff7024,model.options.HGU.cane.20.json,30,17.5,400,800,6
76f5593b-986e-47c2-a43c-a1ca8352ed19,model.options.HGU.cane.20.json,30,17.5,400,800,9
