station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_Potential,soilWater_content,rainfall
Bordeaux,2012,203,10,30.6005,0.4559,874.225,400,1.1,-0.05,,
Bordeaux,2012,203,11,30.481,0.43675,1060.505769,400,1.1,-0.05,,
Bordeaux,2012,203,12,29.7475,0.41865,822.0807692,400,1.1,-0.05,,
Bordeaux,2012,203,13,30.703,0.4178,1449.609615,400,1.1,-0.05,,
Bordeaux,2012,203,14,32.8465,0.34315,1528.725,400,1.1,-0.05,,
Bordeaux,2012,203,15,32.293,0.34585,1949.3628,400,1.1,-0.05,,
Bordeaux,2012,203,16,28.7705,0.42475,448.7503731,400,1.1,-0.05,,
Bordeaux,2012,203,17,29.309,0.43525,505.2596154,400,1.1,-0.05,,
Bordeaux,2012,203,18,28.847,0.4056,267.1223077,400,1.1,-0.05,,
Bordeaux,2012,203,19,27.2995,0.44685,167.9763461,400,1.1,-0.05,,
Bordeaux,2012,203,20,25.678,0.47255,79.65480769,400,1.1,-0.05,,
Bordeaux,2012,203,21,24.009,0.51415,10.78846154,400,1.1,-0.05,,
Bordeaux,2012,203,22,22.86,0.61765,0.036752692,400,1.1,-0.05,,
Bordeaux,2012,203,23,22.26,0.711,0,400,1.1,-0.05,,
Bordeaux,2012,204,0,21.576,0.7702,0,400,1.1,-0.05,,
Bordeaux,2012,204,1,20.9825,0.7915,0,400,1.1,-0.05,,
Bordeaux,2012,204,2,20.424,0.7997,0.287692308,400,1.1,-0.05,,
Bordeaux,2012,204,3,19.9985,0.8045,0.4675,400,1.1,-0.05,,
Bordeaux,2012,204,4,19.578,0.8055,0.899038461,400,1.1,-0.05,,
Bordeaux,2012,204,5,19.187,0.8055,0.4675,400,1.1,-0.05,,
Bordeaux,2012,204,6,18.8225,0.8035,5.322307692,400,1.1,-0.05,,
Bordeaux,2012,204,7,19.523,0.8055,72.28269231,400,1.1,-0.05,,
Bordeaux,2012,204,8,23.051,0.72015,218.9698077,400,1.1,-0.05,,
Bordeaux,2012,204,9,27.8765,0.52335,660.9730769,400,1.1,-0.05,,
Bordeaux,2012,204,10,30.6755,0.46605,776.4096154,400,1.1,-0.05,,
Bordeaux,2012,204,11,30.485,0.3999,1065.540385,400,1.1,-0.05,,
Bordeaux,2012,204,12,31.317,0.36865,1969.613461,400,1.1,-0.05,,
Bordeaux,2012,204,13,31.8065,0.3354,1895.892308,400,1.1,-0.05,,
Bordeaux,2012,204,14,32.924,0.3266,1789.086539,400,1.1,-0.05,,
Bordeaux,2012,204,15,33.3325,0.31345,1964.063877,400,1.1,-0.05,,
Bordeaux,2012,204,16,31.452,0.3254,1233.052827,400,1.1,-0.05,,
Bordeaux,2012,204,17,30.911,0.3172,525.7576924,400,1.1,-0.05,,
Bordeaux,2012,204,18,29.4475,0.35365,256.4417308,400,1.1,-0.05,,
Bordeaux,2012,204,19,27.611,0.4015,150.6788461,400,1.1,-0.05,,
Bordeaux,2012,204,20,25.4845,0.4462,63.54403846,400,1.1,-0.05,,
Bordeaux,2012,204,21,24.1065,0.50855,13.62942308,400,1.1,-0.05,,
Bordeaux,2012,204,22,23.5875,0.50835,0.107884615,400,1.1,-0.05,,
Bordeaux,2012,204,23,22.642,0.5885,0,400,1.1,-0.05,,
Bordeaux,2012,205,0,22.0785,0.6804,1.078846154,400,1.1,-0.05,,
Bordeaux,2012,205,1,21.748,0.7396,0.719230769,400,1.1,-0.05,,
Bordeaux,2012,205,2,21.468,0.7623,0.719230769,400,1.1,-0.05,,
Bordeaux,2012,205,3,21.09,0.7769,1.258653846,400,1.1,-0.05,,
Bordeaux,2012,205,4,20.498,0.78055,1.006923077,400,1.1,-0.05,,
Bordeaux,2012,205,5,20.0275,0.78815,0.215769231,400,1.1,-0.05,,
Bordeaux,2012,205,6,19.678,0.7941,6.545,400,1.1,-0.05,,
Bordeaux,2012,205,7,20.8055,0.768,66.16923077,400,1.1,-0.05,,
Bordeaux,2012,205,8,24.192,0.5866,248.9976924,400,1.1,-0.05,,
Bordeaux,2012,205,9,27.999,0.48,696.9346154,400,1.1,-0.05,,
Bordeaux,2012,205,10,30.0595,0.4341,779.2865385,400,1.1,-0.05,,
Bordeaux,2012,205,11,30.491,0.3388,1084.6,400,1.1,-0.05,,
Bordeaux,2012,205,12,31.2565,0.32895,2392.521154,400,1.1,-0.05,,
Bordeaux,2012,205,13,32.32,0.28855,2323.475,400,1.1,-0.05,,
Bordeaux,2012,205,14,32.696,0.25285,1969.973077,400,1.1,-0.05,,
Bordeaux,2012,205,15,32.6455,0.2638,2380.104354,400,1.1,-0.05,,
Bordeaux,2012,205,16,32.274,0.26735,2032.791411,400,1.1,-0.05,,
Bordeaux,2012,205,17,31.506,0.26145,789.4478308,400,1.1,-0.05,,
Bordeaux,2012,205,18,29.989,0.2893,259.2167389,400,1.1,-0.05,,
Bordeaux,2012,205,19,28.2165,0.332,133.3094231,400,1.1,-0.05,,
Bordeaux,2012,205,20,26.153,0.35595,60.53168424,400,1.1,-0.05,,
Bordeaux,2012,205,21,24.276,0.45985,13.62942308,400,1.1,-0.05,,
Bordeaux,2012,205,22,23.688,0.52175,1.150769231,400,1.1,-0.05,,
Bordeaux,2012,205,23,23.3105,0.5589,2.769038461,400,1.1,-0.05,,
Bordeaux,2012,206,0,22.8335,0.55875,3.128653846,400,1.1,-0.05,,
Bordeaux,2012,206,1,22.214,0.6093,2.948846154,400,1.1,-0.05,,
Bordeaux,2012,206,2,21.75,0.672,1.941923077,400,1.1,-0.05,,
Bordeaux,2012,206,3,21.027,0.7238,1.618269231,400,1.1,-0.05,,
Bordeaux,2012,206,4,20.3495,0.7538,0.4675,400,1.1,-0.05,,
Bordeaux,2012,206,5,19.744,0.75975,0.647307692,400,1.1,-0.05,,
Bordeaux,2012,206,6,19.191,0.7625,5.825769231,400,1.1,-0.05,,
Bordeaux,2012,206,7,20.406,0.77735,64.47903846,400,1.1,-0.05,,
Bordeaux,2012,206,8,24.284,0.6037,243.0280769,400,1.1,-0.05,,
Bordeaux,2012,206,9,28.27,0.4616,616.3807692,400,1.1,-0.05,,
Bordeaux,2012,206,10,31.263,0.4288,740.0884615,400,1.1,-0.05,,
Bordeaux,2012,206,11,31.3585,0.36965,1052.953846,400,1.1,-0.05,,
Bordeaux,2012,206,12,33.221,0.3255,2368.426924,400,1.1,-0.05,,
Bordeaux,2012,206,13,34.427,0.27545,2269.173077,400,1.1,-0.05,,
Bordeaux,2012,206,14,34.872,0.26345,1906.321154,400,1.1,-0.05,,
Bordeaux,2012,206,15,34.3815,0.2563,2271.683911,400,1.1,-0.05,,
Bordeaux,2012,206,16,34.061,0.26475,1944.217424,400,1.1,-0.05,,
Bordeaux,2012,206,17,33.293,0.26825,769.9689039,400,1.1,-0.05,,
Bordeaux,2012,206,18,31.758,0.29885,262.9655135,400,1.1,-0.05,,
Bordeaux,2012,206,19,29.963,0.3244,132.7340385,400,1.1,-0.05,,
Bordeaux,2012,206,20,27.9255,0.3677,60.42142615,400,1.1,-0.05,,
Bordeaux,2012,206,21,25.986,0.4538,13.30576924,400,1.1,-0.05,,
Bordeaux,2012,206,22,25.132,0.4893,0,400,1.1,-0.05,,
Bordeaux,2012,206,23,24.706,0.4868,0.143846154,400,1.1,-0.05,,
Bordeaux,2012,207,0,24.128,0.52165,0.755192308,400,1.1,-0.05,,
Bordeaux,2012,207,1,23.589,0.56615,2.193653846,400,1.1,-0.05,,
Bordeaux,2012,207,2,23.0315,0.60945,1.582307692,400,1.1,-0.05,,
Bordeaux,2012,207,3,22.4695,0.66,0.4675,400,1.1,-0.05,,
Bordeaux,2012,207,4,22.067,0.7159,0.251730769,400,1.1,-0.05,,
Bordeaux,2012,207,5,21.684,0.76535,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,207,6,21.3695,0.78835,5.538076924,400,1.1,-0.05,,
Bordeaux,2012,207,7,22.318,0.78755,72.39057692,400,1.1,-0.05,,
Bordeaux,2012,207,8,24.7775,0.61165,207.1025,400,1.1,-0.05,,
Bordeaux,2012,207,9,27.808,0.46965,462.4653846,400,1.1,-0.05,,
Bordeaux,2012,207,10,31.326,0.4241,686.8653846,400,1.1,-0.05,,
