uuid,CropLoad,crop_load_label,scenario_role,scenario_role_label,component,trait,trait_label,x,y,z,value,source_variable,file_path
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.10246848140799848,0.22984001306524657,0.3629871869761878,-0.556684475345817,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.11331948575036171,0.25071317206996935,0.3841029164514459,-0.5568838208636528,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.124690357736948,0.26751598242966523,0.40834494458963455,-0.5571133375568181,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.1348135120714807,0.28097759709634557,0.4350959029156236,-0.5573670314638114,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.14478765981801434,0.2927978378216596,0.4626659116309561,-0.5576286165021516,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.15176828534374684,0.30071087669226215,0.4924645991554952,-0.5579115169013833,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.18475045124088504,0.37942605272933894,0.6231869902737402,-0.5591697878344283,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.17742410557512878,0.3613576523863488,0.5983039709155866,-0.5589301670600866,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.17012023745812507,0.34279515293872237,0.57378063082894315,-0.558693206591526,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.1631804230350355,0.32413429341688427,0.5492262344427157,-0.5584555629705222,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
