date,reserve_pool,value_mgC_plant,uuid,CropLoad,crop_load_label,simulation_day,days_after_full_bloom,dayOfYear,reserve_pool_label,value_gC_plant,aggregation,unit_conversion
2021-12-04,structuralRootNSC,264659.158836388,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Structural-root NSC,264.659158836388,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-04,internodeNSC,817442.8243256356,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Total internode NSC reserve,817.4428243256356,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-04,cordonNSC,728075.7789628416,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Cordon NSC,728.0757789628416,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-04,trunkNSC,58684.570048304166,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Trunk NSC,58.68457004830417,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-04,totalNSC,1325093.3169260966,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Whole-tree NSC reserve,1325.0933169260966,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-05,leafNSC,148749.64591820975,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Leaf NSC,148.74964591820975,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-05,fineRootNSC,94402.49817793803,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Fine-root NSC,94.40249817793803,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-05,structuralRootNSC,264639.22241787985,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Structural-root NSC,264.63922241787986,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-05,internodeNSC,818689.4943105518,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Total internode NSC reserve,818.6894943105518,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-05,cordonNSC,729188.419203746,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Cordon NSC,729.188419203746,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
